status;base_name;survivor_model_id;old_model_id;old_model_name;extracted_number;marker;item_id;old_item_number;new_item_number;old_item_name;new_item_name;note
DO_KONTROLI;Rack 2x Mikrofon bezprzewodowy Shure SLXD;;825;Rack 2x Mikrofon bezprzewodowy Shure SLXD [1];1;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 12, 8
DO_KONTROLI;Rack 2x Mikrofon bezprzewodowy Shure SLXD;;826;Rack 2x Mikrofon bezprzewodowy Shure SLXD [2];2;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 12, 8
DO_KONTROLI;Rack 2x Mikrofon bezprzewodowy Shure SLXD;;827;Rack 2x Mikrofon bezprzewodowy Shure SLXD [3];3;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 12, 8
DO_KONTROLI;Rack 2x Mikrofon bezprzewodowy Shure SLXD;;828;Rack 2x Mikrofon bezprzewodowy Shure SLXD [5];5;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 12, 8
DO_KONTROLI;Rack 2x Mikrofon bezprzewodowy Shure SLXD;;829;Rack 2x Mikrofon bezprzewodowy Shure SLXD [6];6;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 12, 8
DO_KONTROLI;Rack 3x Radiotelefon Motorola;;245;Rack 3x Radiotelefon Motorola [1];1;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 13, 8
DO_KONTROLI;Rack 3x Radiotelefon Motorola;;246;Rack 3x Radiotelefon Motorola [2];2;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 13, 8
DO_KONTROLI;Rack 3x Radiotelefon Motorola;;247;Rack 3x Radiotelefon Motorola [3];3;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 13, 8
DO_KONTROLI;Rack 3x Radiotelefon Motorola;;248;Rack 3x Radiotelefon Motorola [4];4;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 13, 8
DO_KONTROLI;Rack 3x Radiotelefon Motorola;;830;Rack 3x Radiotelefon Motorola;;NONE;;;;;;różne kategorie: 49, 13, 8
DO_KONTROLI;Rack 3x Radiotelefon Motorola;;831;Rack 3x Radiotelefon Motorola [1];1;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 13, 8
DO_KONTROLI;Rack 3x Radiotelefon Motorola;;832;Rack 3x Radiotelefon Motorola [2];2;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 13, 8
DO_KONTROLI;Rack 3x Radiotelefon Motorola;;833;Rack 3x Radiotelefon Motorola [4];4;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 13, 8
DO_KONTROLI;Rack 4x Mikrofon bezprzewodowy Sennheiser G3 EW100;;249;Rack 4x Mikrofon bezprzewodowy Sennheiser G3 EW100 [1];1;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 12, 8
DO_KONTROLI;Rack 4x Mikrofon bezprzewodowy Sennheiser G3 EW100;;834;Rack 4x Mikrofon bezprzewodowy Sennheiser G3 EW100;;NONE;;;;;;różne kategorie: 12, 8
DO_KONTROLI;Rack 4x Mikrofon bezprzewodowy Sennheiser SL;;250;Rack 4x Mikrofon bezprzewodowy Sennheiser SL [1];1;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 12, 8
DO_KONTROLI;Rack 4x Mikrofon bezprzewodowy Sennheiser SL;;251;Rack 4x Mikrofon bezprzewodowy Sennheiser SL [2];2;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 12, 8
DO_KONTROLI;Rack 4x Mikrofon bezprzewodowy Sennheiser SL;;835;Rack 4x Mikrofon bezprzewodowy Sennheiser SL;;NONE;;;;;;różne kategorie: 49, 12, 8
DO_KONTROLI;Rack 4x Mikrofon bezprzewodowy Sennheiser SL;;836;Rack 4x Mikrofon bezprzewodowy Sennheiser SL [1];1;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 49, 12, 8
DO_KONTROLI;Rack 4x Mikrofon bezprzewodowy Sennheiser XS;;252;Rack 4x Mikrofon bezprzewodowy Sennheiser XS [1];1;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 12, 49, 8
DO_KONTROLI;Rack 4x Mikrofon bezprzewodowy Sennheiser XS;;253;Rack 4x Mikrofon bezprzewodowy Sennheiser XS [2];2;NUMBER_SUFFIX_BRACKET_CONDITIONAL;;;;;;różne kategorie: 12, 49, 8
DO_KONTROLI;Rack 4x Mikrofon bezprzewodowy Sennheiser XS;;837;Rack 4x Mikrofon bezprzewodowy Sennheiser XS;;NONE;;;;;;różne kategorie: 12, 49, 8
